Country or region,year,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Score
Paraguay,2018,0.835,1.522,0.615,0.541,0.162,0.074,5.681
Peru,2018,0.934,1.249,0.674,0.53,0.092,0.034,5.663
Kosovo,2018,0.855,1.23,0.578,0.448,0.274,0.023,5.662
Moldova,2018,0.657,1.301,0.62,0.232,0.171,0,5.64
Turkmenistan,2018,1.016,1.533,0.517,0.417,0.199,0.037,5.636
Hungary,2018,1.171,1.401,0.732,0.259,0.061,0.022,5.62
Libya,2018,0.985,1.35,0.553,0.496,0.116,0.148,5.566
Philippines,2018,0.775,1.312,0.513,0.643,0.12,0.105,5.524
Honduras,2018,0.62,1.205,0.622,0.459,0.197,0.074,5.504
Belarus,2018,1.039,1.498,0.7,0.307,0.101,0.154,5.483
Turkey,2018,1.148,1.38,0.686,0.324,0.106,0.109,5.483
Pakistan,2018,0.652,0.81,0.424,0.334,0.216,0.113,5.472
Hong Kong,2018,1.405,1.29,1.03,0.524,0.246,0.291,5.43
Portugal,2018,1.188,1.429,0.884,0.562,0.055,0.017,5.41
Serbia,2018,0.975,1.369,0.685,0.288,0.134,0.043,5.398
Greece,2018,1.154,1.202,0.879,0.131,0,0.044,5.358
Lebanon,2018,0.965,1.179,0.785,0.503,0.214,0.136,5.358
Montenegro,2018,1.017,1.279,0.729,0.259,0.111,0.081,5.347
Croatia,2018,1.115,1.161,0.737,0.38,0.12,0.039,5.321
Dominican Republic,2018,0.982,1.441,0.614,0.578,0.12,0.106,5.302
Algeria,2018,0.979,1.154,0.687,0.077,0.055,0.135,5.295
Morocco,2018,0.779,0.797,0.669,0.46,0.026,0.074,5.254
China,2018,0.989,1.142,0.799,0.597,0.029,0.103,5.246
Azerbaijan,2018,1.024,1.161,0.603,0.43,0.031,0.176,5.201
Tajikistan,2018,0.474,1.166,0.598,0.292,0.187,0.034,5.199
Macedonia,2018,0.959,1.239,0.691,0.394,0.173,0.052,5.185
Jordan,2018,0.822,1.265,0.645,0.468,0.13,0.134,5.161
Nigeria,2018,0.689,1.172,0.048,0.462,0.201,0.032,5.155
Kyrgyzstan,2018,0.53,1.416,0.594,0.54,0.281,0.035,5.131
Bosnia and Herzegovina,2018,0.915,1.078,0.758,0.28,0.216,0,5.129
Mongolia,2018,0.914,1.517,0.575,0.395,0.253,0.032,5.125
